"WID","login_count","level"
W11145,5,12
W11146,2,3
W11147,39,20
W11148,18,16
W11149,90,28
W11150,36,15
W11151,1,1
W11152,26,16
W11153,16,14
W11154,2,5
W11155,1,1
W11156,8,6
W11157,4,5
W11158,62,23
W11159,108,31
W11160,8,20
W11161,59,11
W11162,3,5
W11163,28,36
W11164,2,1
W11165,2,6
W11166,45,24
W11167,2,1
W11168,2,1
W11169,9,1
W11170,2,1
W11171,39,21
W11172,64,21
W11173,2,1
W11174,4,8
W11175,1,1
W11176,102,22
W11177,6,2
W11178,5,1
W11179,381,40
W11180,1,1
W11181,5,5
W11182,3,1
W11183,2,1
W11184,2,5
W11185,2,3
W11186,34,15
W11187,2,2
W11188,2,1
W11189,124,25
W11190,9,17
W11191,23,11
W11192,17,17
W11193,306,30
W11194,2,1
W11195,20,14
W11196,134,15
W11197,13,17
W11198,385,41
W11199,8,14
W11200,277,42
W11201,61,23
W11202,2,6
W11203,10,4
W11204,38,26
W11205,1,1
W11206,2,1
W11207,2,1
W11208,39,18
W11209,4,7
W11210,5,1
W11211,11,4
W11212,8,2
W11213,44,15
W11214,88,21
W11215,8,4
W11216,4,1
W11217,2,1
W11218,14,6
W11219,7,12
W11220,3,1
W11221,117,25
W11222,148,36
W11223,577,49
W11224,25,14
W11225,14,22
W11226,6,3
W11227,5,1
W11228,16,20
W11229,29,25
W11230,21,9
W11231,60,19
W11232,1445,54
W11233,2,1
W11234,10,2
W11235,9,12
W11236,6,4
W11237,2,1
W11238,62,25
W11239,3,1
W11240,2,1
W11241,1,1
W11242,16,12
W11243,38,18
W11244,13,12
W11245,1,1
W11246,130,25
W11247,32,18
W11248,4,2
W11249,5,2
W11250,9,4
W11251,8,5
W11252,12,15
W11253,11,9
W11254,56,17
W11255,5,2
W11256,3,9
W11257,7,9
W11258,2,1
W11259,57,15
W11260,28,17
W11261,2,3
W11262,8,9
W11263,7,6
W11264,22,16
W11265,17,14
W11266,16,10
W11267,7,5
W11268,5,2
W11269,3,1
W11270,138,39
W11271,7,1
W11272,21,13
W11273,209,26
W11274,98,34
W11275,2,1
W11276,166,28
W11277,1073,30
W11278,41,25
W11279,4,1
W11280,1,1
W11281,2,1
W11282,84,32
W11283,5,1
W11284,5,1
W11285,21,23
W11286,97,29
W11287,2,1
W11288,9,11
W11289,23,14
W11290,15,15
W11291,3,1
W11292,2,1
W11293,6,6
W11294,4,1
W11295,30,20
W11296,1,1
W11297,471,43
W11298,25,20
W11299,1,1
W11300,22,13
W11301,2,5
W11302,2,1
W11303,35,21
W11304,4,8
W11305,5,7
W11306,1,1
W11307,65,28
W11308,27,22
W11309,72,24
W11310,12,8
W11311,15,8
W11312,6,12
W11313,198,35
W11314,438,45
W11315,1297,48
W11316,62,31
W11317,22,17
W11318,29,12
W11319,2,6
W11320,13,13
W11321,4,1
W11322,34,23
W11323,4,13
W11324,23,25
W11325,129,26
W11326,4,4
W11327,1,1
W11328,9,1
W11329,5,1
W11330,5,5
W11331,7,12
W11332,3,1
W11333,9,3
W11334,48,21
W11335,6,6
W11336,8,10
W11337,433,43
W11338,2,6
W11339,8,11
W11340,20,15
W11341,2,1
W11342,50,29
W11343,1,1
W11344,4,1
W11345,1,1
W11346,3,3
W11347,178,27
W11348,108,22
W11349,6,5
W11350,6,1
W11351,2,1
W11352,1,1
W11353,2,1
W11354,209,36
W11355,2,1
W11356,9,1
W11357,20,16
W11358,2472,48
W11359,14,17
W11360,2,1
W11361,9,11
W11362,12,12
W11363,1,1
W11364,47,20
W11365,1,1
W11366,3,1
W11367,66,23
W11368,30,16
W11369,8,2
W11370,3,3
W11371,3,6
W11372,10,3
W11373,43,13
W11374,3,2
W11375,5,1
W11376,38,29
W11377,5,1
W11378,10,3
W11379,3,1
W11380,3,1
W11381,6,6
W11382,11,13
W11383,4,11
W11384,3,5
W11385,234,37
W11386,4,3
W11387,41,24
W11388,23,19
W11389,2,1
W11390,1,1
W11391,26,5
W11392,168,13
W11393,2,1
W11394,6,11
W11395,29,1
W11396,17,7
W11397,3043,58
W11398,2,1
W11399,69,25
W11400,1888,36
W11401,6,1
W11402,90,11
W11403,50,28
W11404,140,33
W11405,15,11
W11406,4,5
W11407,6,1
W11408,9,14
W11409,316,46
W11410,43,18
W11411,5,6
W11412,4,1
W11413,28,1
W11414,2,1
W11415,2,1
W11416,3,1
W11417,7,2
W11418,4,1
W11419,2,2
W11420,15,10
W11421,591,46
W11422,189,22
W11423,5,1
W11424,16,9
W11425,7,1
W11426,25,21
W11427,1,1
W11428,8,5
W11429,1,1
W11430,2,5
W11431,3,10
W11432,2,1
W11433,11,1
W11434,92,25
W11435,22,14
W11436,43,14
W11437,2,1
W11438,3,1
W11439,114,20
W11440,6,9
W11441,3,2
W11442,11,12
W11443,2,5
W11444,2,1
W11445,112,26
W11446,34,24
W11447,1,1
W11448,1,1
W11449,1774,54
W11450,20,11
W11451,7,11
W11452,33,33
W11453,67,29
W11454,868,51
W11455,2,1
W11456,2,1
W11457,18,14
W11458,32,28
W11459,6,1
W11460,11,11
W11461,3,6
W11462,2,1
W11463,4,6
W11464,39,16
W11465,3,1
W11466,19,18
W11467,1,1
W11468,55,16
W11469,8,11
W11470,681,36
W11471,36,12
W11472,48,25
W11473,286,30
W11474,7,13
W11475,1,1
