"WID","login_count","level","playcount_sum","playtime_sum"
W10636,3,1,1,1615
W10638,127,28,111,51850
W10639,410,39,208,202261
W10642,5,1,1,89
W10643,45,25,37,40443
W10644,6,6,4,4018
W10645,20,16,10,4701
W10647,3,5,2,1385
W10648,17,19,19,15307
W10650,176,37,179,168701
W10651,84,27,94,51006
W10652,46,29,40,60092
W10653,16,1,2,1034
W10654,8,2,2,636
W10655,431,38,309,255463
W10656,4,1,1,776
W10657,14,12,12,11358
W10658,11,8,4,4775
W10659,46,12,12,7277
W10660,1975,62,1614,1557945
W10661,3,7,4,5234
W10664,2,5,1,1530
W10665,19,17,34,19572
W10666,4,1,1,90
W10667,4,4,3,2573
W10668,10,15,18,11697
W10669,424,44,1038,467815
W10670,18,1,2,1440
W10672,6,8,4,3941
W10673,18,11,9,8260
W10674,5,1,1,0
W10675,18,18,7,9813
W10676,490,41,200,258768
W10677,4,6,3,3669
W10678,150,39,213,159858
W10679,61,22,55,28130
W10680,12,5,3,2498
W10682,50,26,51,46034
W10683,2,1,1,1623
W10684,132,34,180,108062
W10685,36,16,39,19394
W10686,48,14,9,9786
W10688,7,2,3,1233
W10689,6,8,7,4759
W10690,4,6,2,3031
W10691,2,3,4,3106
W10692,44,24,46,34520
W10693,38,15,24,11511
W10694,16,17,14,10824
W10695,2,1,1,1470
W10696,7,12,6,5566
W10697,344,48,1391,790382
W10698,28,21,59,42979
W10699,4,1,1,89
W10700,566,51,754,495370
W10701,25,15,4,2049
W10702,3,10,5,5759
W10703,4,6,6,4138
W10704,779,47,942,494000
W10705,5,1,1,89
W10706,24,8,5,3300
W10707,490,44,372,312629
W10708,4,1,3,2948
W10709,8,10,5,3855
W10712,35,23,75,24129
W10713,4,9,6,5145
W10714,4,3,1,1343
W10715,169,36,211,156161
W10716,308,38,150,99365
W10717,5,4,1,751
W10718,60,27,67,50563
W10719,13,11,14,10692
W10720,4,3,2,602
W10721,5,1,1,589
W10722,82,22,54,23349
W10723,2,1,1,942
W10724,15,17,13,13498
W10725,62,16,24,11438
W10726,2,1,1,1561
W10727,2,1,2,2062
W10728,11,9,6,5087
W10729,3,1,4,2369
W10730,4,3,3,3367
W10731,2,5,1,1583
W10732,148,31,236,107513
W10733,11,9,4,5656
W10734,20,16,15,12953
W10735,35,22,47,35985
W10736,8,12,19,9058
W10737,3,1,1,438
W10738,68,20,33,13521
W10739,10,1,1,679
W10740,6,12,14,7018
W10741,16,10,1,83
W10742,20,9,6,3979
W10743,126,28,156,75430
W10745,2,2,2,1607
W10746,3,2,3,1393
W10747,7,9,8,5857
W10748,45,29,61,72702
W10749,4,1,2,1919
W10750,29,24,35,32665
W10751,3,12,11,6537
W10753,345,41,632,357700
W10754,23,15,23,17542
W10756,16,17,14,12222
W10758,9,1,3,2996
W10759,415,33,184,82746
W10761,11,14,6,8542
W10763,10,12,6,1937
W10765,204,43,685,376707
W10766,2,1,1,1506
W10767,3,5,3,4588
W10769,36,22,28,32452
W10770,3,1,1,478
W10771,4,4,3,2060
W10772,5,14,4,4498
